Orthogroup,camp,ecoli,pa,sam,staph,Total
OG0000000,8,28,29,23,24,112
OG0000001,6,16,52,17,8,99
OG0000002,0,18,37,12,1,68
OG0000003,4,12,20,12,8,56
OG0000004,1,9,28,12,4,54
OG0000005,0,7,38,7,0,52
OG0000006,4,10,25,7,5,51
OG0000007,0,8,24,9,2,43
OG0000008,1,7,21,11,0,40
OG0000009,1,9,17,8,4,39
OG0000010,1,15,2,17,1,36
OG0000011,1,4,19,4,5,33
OG0000012,0,7,19,4,2,32
OG0000013,0,4,21,4,2,31
OG0000014,0,5,11,6,9,31
OG0000015,2,9,10,6,3,30
OG0000016,2,7,13,6,1,29
OG0000017,0,2,23,3,1,29
OG0000018,0,12,4,12,0,28
OG0000019,0,7,14,7,0,28
OG0000020,3,3,10,5,6,27
OG0000021,0,9,6,12,0,27
OG0000022,3,3,14,4,1,25
OG0000023,4,5,9,6,1,25
OG0000024,4,4,8,4,5,25
OG0000025,0,5,9,8,3,25
OG0000026,1,0,23,0,0,24
OG0000027,1,9,4,7,3,24
OG0000028,0,10,3,11,0,24
OG0000029,0,3,18,3,0,24
OG0000030,2,6,8,5,2,23
OG0000031,2,5,13,2,1,23
OG0000032,4,4,7,4,4,23
OG0000033,2,4,13,4,0,23
OG0000034,0,6,7,5,5,23
OG0000035,3,3,7,3,6,22
OG0000036,1,7,3,6,5,22
OG0000037,7,4,4,4,2,21
OG0000038,3,4,5,4,5,21
OG0000039,1,1,16,1,2,21
OG0000040,2,6,5,7,1,21
OG0000041,1,5,4,10,1,21
OG0000042,0,4,12,5,0,21
OG0000043,0,4,11,5,1,21
OG0000044,1,4,11,4,0,20
OG0000045,2,2,13,1,2,20
OG0000046,1,4,10,4,1,20
OG0000047,1,5,4,3,6,19
OG0000048,1,6,3,5,4,19
OG0000049,0,4,8,4,3,19
OG0000050,0,2,8,3,6,19
OG0000051,0,0,19,0,0,19
OG0000052,2,5,2,7,2,18
OG0000053,4,4,6,4,0,18
OG0000054,2,2,11,3,0,18
OG0000055,2,3,11,2,0,18
OG0000056,1,7,4,6,0,18
OG0000057,0,5,6,5,2,18
OG0000058,0,3,10,4,1,18
OG0000059,2,6,3,3,3,17
OG0000060,2,4,7,3,1,17
OG0000061,2,5,2,8,0,17
OG0000062,2,3,5,3,4,17
OG0000063,2,3,7,3,2,17
OG0000064,2,3,6,3,3,17
OG0000065,1,4,8,3,1,17
OG0000066,0,5,4,5,3,17
